"","V1","V2","V3"
"1",-0.233562514185905,-0.307995289564133,-0.329386055469513
"2",0.0731633454561234,0.0311058759689331,0.0971637144684792
"3",0.162523463368416,0.127346873283386,0.127564042806625
"4",-0.475291907787323,-0.564684391021729,-0.512097239494324
"5",0.153847500681877,0.07705108076334,0.154471963644028
"6",0.250875353813171,0.169108435511589,0.191515937447548
"7",-0.15988527238369,-0.327682018280029,-0.258915632963181
"8",0.325949907302856,0.358338505029678,0.285771399736404
"9",0.00785965286195278,-0.0199240650981665,-0.0523980408906937
"10",0.0970399379730225,0.106168672442436,0.153321787714958
"11",-0.161264479160309,-0.206807643175125,-0.155209496617317
"12",-0.205180123448372,-0.206969201564789,-0.183188557624817
